Name,Type,Storage,Expiry Date,Storage Tip
Yam,Fresh,4/9/2025,4/16/2025,Store in refrigerator. Best consumed within a week.
Fried fish,Cooked,4/14/2025,4/18/2025,Keep in airtight container in fridge. Reheat before eating.
Rice ,Fresh,Store in a cool dry place or refrigerate.,4/21/2025,
Rice,Fresh,4/22/2025,General storage advice applies.,
fried plantain,Cooked,4/30/2025,Store cooked food in a sealed container in the fridge. Use within a few days.,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"Apple #10
",fresh,room_temp,4/25/2025,"Keep in a cool, dark place or refrigerate for longer shelf life."
"Apple #10
",fresh,room_temp,4/25/2025,"Keep in a cool, dark place or refrigerate for longer shelf life."
Apple,fresh,room_temp,4/25/2025,"Keep in a cool, dark place or refrigerate for longer shelf life."
Banana,fresh,room_temp,4/20/2025,Store at room temperature. Refrigerate if overripe.
Tangerine ,fresh,room_temp,Unknown,No information available.
Tangerine ,fresh,room_temp,4/30/2025,"Keep in a cool, dark place or refrigerate for longer shelf life."
"Banku and Tilapia
",cooked,room_temp,Unknown,No information available.
"Banku and Tilapia
",cooked,room_temp,Unknown,No information available.
Banku and Tilapia,cooked,room_temp,4/17/2025,Refrigerate in a breathable container.
Banana,fresh,room_temp,4/21/2025,Store at room temperature. Refrigerate if overripe.
Banana,fresh,room_temp,4/21/2025,Store at room temperature. Refrigerate if overripe.
"Banku and Tilapia
",cooked,refrigerated,4/26/2025,Refrigerate in a breathable container.
"Banku and Tilapia
",cooked,refrigerated,4/26/2025,Refrigerate in a breathable container.
"Banku and Tilapia
",cooked,refrigerated,4/26/2025,Refrigerate in a breathable container.
Fried meat balls,cooked,refrigerated,5/18/2025,Refrigerate and consume within a few days.
Fried meat balls,cooked,refrigerated,5/18/2025,Refrigerate and consume within a few days.
"Yogurt
",fresh,room_temp,Unknown,No storage recommendation available.
